VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
      1       0 TES_SUP_SINGLE                         D OFF/ON                                38  310    0    0   S   27    30       1.0000       0.0000       0   2   2       1.0000 "TES~Sup~Single"
      2       0 TES_SUP_DOUBLE                         D OFF/ON                                38  310    0    0   S   27    31       1.0000       0.0000       0   2   2       1.0000 "TES~Sup~Double"
      3       0 TES_SUP_REG                            A Pos                                  216   16    0    0   S   27     5       1.0000       0.0000       0   0   1       0.0000 "TES~Sup~Regulate"
      4       0 TES_SUP_NORM                           A kV                                   201    1    0    0   S   27     9    1000.0000    -500.0000       0  -1   1       0.0000 "TES~Sup~Normalized"
      5       0 TES_SUP_SCALED                         A kV                                   201    1    0    0   S   27    11       0.1000       0.0000       0  -1   1       0.0000 "TES~Sup~Scaled"
      6       0 TES_SUP_FLOAT                          A kV                                   201    1    0    0   S   27    13       1.0000       0.0000       0  -1   1       0.0000 "TES~Sup~Float"
    101       0 TES_CMD_SINGLE                         D OFF/ON                                 2   27    0    7   S   27    45       1.0000       0.0000       1   2   1       0.0000 "TES~CMD~Single"
    102       0 TES_CMD_DOUBLE                         D OFF/ON                                 2   27    0    7   S   27    46       1.0000       0.0000       2   2   1       0.0000 "TES~CMD~Double"
    103       0 TES_CMD_REG                            A Down/Up                              216   16    0    7   S   27    47       1.0000       0.0000       3   0   1       0.0000 "TES~CMD~Regulate"
    104       0 TES_CMD_NORM                           A kV                                   201    1    0    7   S   27    48    1000.0000    -500.0000       4  -1   1       0.0000 "TES~CMD~Normalized"
    105       0 TES_CMD_SCALED                         A kV                                   201    1    0    7   S   27    49       1.0000       0.0000       5  -1   1       0.0000 "TES~CMD~Scaled"
    106       0 TES_CMD_FLOAT                          A kV                                   201    1    0    7   S   27    50       1.0000       0.0000       6  -1   1       0.0000 "TES~CMD~Float"
   1000       0 TES_DNP3_DIG_0                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 0"
   1001       0 TES_DNP3_DIG_1                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 1"
   1002       0 TES_DNP3_DIG_2                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 2"
   1003       0 TES_DNP3_DIG_3                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 3"
   1004       0 TES_DNP3_DIG_4                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 4"
   1005       0 TES_DNP3_DIG_5                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 5"
   1006       0 TES_DNP3_DIG_6                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 6"
   1007       0 TES_DNP3_DIG_7                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 7"
   1008       0 TES_DNP3_DIG_8                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 8"
   1009       0 TES_DNP3_DIG_9                         D OFF/ON                                 0    0    0    0   S   27    30       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~STATUS 9"
  60000       0 TES_DNP3_ANA_0                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 0"
  60001       0 TES_DNP3_ANA_1                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 1"
  60002       0 TES_DNP3_ANA_2                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 2"
  60003       0 TES_DNP3_ANA_3                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 3"
  60004       0 TES_DNP3_ANA_4                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 4"
  60005       0 TES_DNP3_ANA_5                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 5"
  60006       0 TES_DNP3_ANA_6                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 6"
  60007       0 TES_DNP3_ANA_7                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 7"
  60008       0 TES_DNP3_ANA_8                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 8"
  60009       0 TES_DNP3_ANA_9                         A val                                    0    0    0    0   S   27    13       1.0000       0.0000       0   1   1       1.0000 "TES~DNP3~ANALOG 9"
  90000       0 TES_DNP3_CMD_DIG_0                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1000   1   1       0.0000 "TES~DNP3~CMD STATUS 0"
  90001       0 TES_DNP3_CMD_DIG_1                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1002   1   1       0.0000 "TES~DNP3~CMD STATUS 1"
  90002       0 TES_DNP3_CMD_DIG_2                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1003   1   1       0.0000 "TES~DNP3~CMD STATUS 2"
  90003       0 TES_DNP3_CMD_DIG_3                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1001   1   1       0.0000 "TES~DNP3~CMD STATUS 3"
  90004       0 TES_DNP3_CMD_DIG_4                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1004   1   1       0.0000 "TES~DNP3~CMD STATUS 4"
  90005       0 TES_DNP3_CMD_DIG_5                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1005   1   1       0.0000 "TES~DNP3~CMD STATUS 5"
  90006       0 TES_DNP3_CMD_DIG_6                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1006   1   1       0.0000 "TES~DNP3~CMD STATUS 6"
  90007       0 TES_DNP3_CMD_DIG_7                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1007   1   1       0.0000 "TES~DNP3~CMD STATUS 7"
  90008       0 TES_DNP3_CMD_DIG_8                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1008   1   1       0.0000 "TES~DNP3~CMD STATUS 8"
  90009       0 TES_DNP3_CMD_DIG_9                     D OFF/ON                                 0    0    0    7   S   27    45       1.0000       0.0000    1009   1   1       0.0000 "TES~DNP3~CMD STATUS 9"
  94000       0 TES_DNP3_CMD_ANA_0                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60000  11   1       0.0000 "TES~DNP3~CMD ANALOG 0"
  94001       0 TES_DNP3_CMD_ANA_1                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60001  11   1       0.0000 "TES~DNP3~CMD ANALOG 1"
  94002       0 TES_DNP3_CMD_ANA_2                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60002  11   1       0.0000 "TES~DNP3~CMD ANALOG 2"
  94003       0 TES_DNP3_CMD_ANA_3                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60003  11   1       0.0000 "TES~DNP3~CMD ANALOG 3"
  94004       0 TES_DNP3_CMD_ANA_4                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60004  11   1       0.0000 "TES~DNP3~CMD ANALOG 4"
  94005       0 TES_DNP3_CMD_ANA_5                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60005  11   1       0.0000 "TES~DNP3~CMD ANALOG 5"
  94006       0 TES_DNP3_CMD_ANA_6                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60006  11   1       0.0000 "TES~DNP3~CMD ANALOG 6"
  94007       0 TES_DNP3_CMD_ANA_7                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60007  11   1       0.0000 "TES~DNP3~CMD ANALOG 7"
  94008       0 TES_DNP3_CMD_ANA_8                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60008  11   1       0.0000 "TES~DNP3~CMD ANALOG 8"
  94009       0 TES_DNP3_CMD_ANA_9                     A val                                    0    0    0    7   S   27    50       1.0000       0.0000   60009  11   1       0.0000 "TES~DNP3~CMD ANALOG 9"
    139       0 U1-MTWT                                A MW                                   206    6    0    0   -    0    11       1.0000       0.0000       0  -1   1      29.3000 "U1~Geração~Active power"
    140       0 U2-MTWT                                A MW                                   206    6    0    0   -    0    11       1.0000       0.0000       0  -1   1      29.4000 "U2~Geração~Active power"
    141       0 U3-MTWT                                A MW                                   206    6    0    0   -    0    11       1.0000       0.0000       0  -1   1      30.0000 "U3~Geração~Active power"
   1350       0 KAW2TR3-2XCDP5219                      D NORMAL/ALARMED                         8   73    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Disc.polos-BR52-19"
   1351       0 KAW2TR3-2XCPS5219BlkC                  D UNLOCKED/LOCKED                       34   53    5    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KAW2~TR3 Sd.230kV~BxPrSF6-BlqFech-BR52-19"
   1352       0 KAW2TR3-2XCPS5219Alrm                  D NORMAL/ALARMED                         8   53    1    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Bx.pr.SF6-Alarme-BR52-19"
   1353       0 KAW2TR3-2XCB15219Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Bob1-Supervisão-BR52-19"
   1354       0 KAW2TR3-2XCB25219Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Bob2-Supervisão-BR52-19"
   1355       0 KAW2TR3-2XCCM5219LoDC                  D NORMAL/ALARMED                         8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Comando DJ-FtaCC-BR52-19"
   1356       0 KAW2TR3-2XCMO5219LoDC                  D NORMAL/ALARMED                         8   48   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Motor DJ-FtaCC-BR52-19"
   1357       0 KAW2TR3-2XCC15219LoDC                  D NORMAL/ALARMED                         8  266   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~CircAbert1-FtaCC-BR52-19"
   1358       0 KAW2TR3-2XCC25219LoDC                  D NORMAL/ALARMED                         8  267   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~CircAbert2-FtaCC-BR52-19"
   1359       0 KAW2TR3-2XCMD5219                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Mola descarr.-BR52-19"
   1360       0 KAW2TR3-2RCTF5219Locl                  D REMOTE/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~(43)-R/L-BR52-19"
   1361       0 KAW2TR3-2XSWS-122Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Switches-Fail-SC122"
   1362       0 KAW2TR3-2XSWS-124Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Switches-Fail-SC124"
   1363       0 KAW2TR3-2XSWS-126Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Switches-Fail-SC126"
   1364       0 KAW2TR3-2CILO-122                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~Interlocking.-SC122"
   1365       0 KAW2TR3-2CILO-124                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~Interlocking.-SC124"
   1366       0 KAW2TR3-2CILO-126                      D INTERLOCKED/NORMAL                    46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3 Sd.230kV~Interlocking.-SC126"
   1367       0 KAW2TR3-2RCTF-122Locl                  D REMOTE/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~(43)-REMOTE/LOCAL-SC122"
   1368       0 KAW2TR3-2RCTF-124Locl                  D REMOTE/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~(43)-REMOTE/LOCAL-SC124"
   1369       0 KAW2TR3-2RCTF-126Locl                  D REMOTE/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~(43)-REMOTE/LOCAL-SC126"
   1370       0 KAW2TR3-2RTFP----Nrml                  D INACTIVE/NORMAL                      128   54    2    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3 Sd.230kV~Transfer.prot.-Normal"
   1371       0 KAW2TR3-2RTFP----Intm                  D INACTIVE/INTERMEDIARY                126   54   11    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~Transfer.prot.-Intermed."
   1372       0 KAW2TR3-2RTFP----Trfd                  D DESATIVADO/TRANSFERIDO               130   54   12    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.230kV~Transfer.prot.-Tranfer"
   1373       0 KAW2TR3-2RTFP----Icpl                  D NORMAL/ALARMED                         8   54  162    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.230kV~Transfer.prot.-Incompl"
   1374       0 KAW2TR3-0XCPS5222BlkC                  D UNLOCKED/LOCKED                       34   53    5    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KAW2~TR3 Sd.69kV~Bx.pr.SF6-BlqFech-BR52-22"
   1375       0 KAW2TR3-0XCPS5222Alrm                  D NORMAL/ALARMED                         8   53    1    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Bx.pr.SF6-Alarme-BR52-22"
   1394       0 KAW2TR3-0XCB15222Sprv                  D NORMAL/ALARMED                         8   42   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Bob1-Supervisão-BR52-22"
   1395       0 KAW2TR3-0XCB25222Sprv                  D NORMAL/ALARMED                         8   43   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Bob2-Supervisão-BR52-22"
   1396       0 KAW2TR3-0XCCM5222LoDC                  D NORMAL/ALARMED                         8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Comando DJ-FtaCC-BR52-22"
   1397       0 KAW2TR3-0XCMO5222LoDC                  D NORMAL/ALARMED                         8   48   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Motor DJ-Falta CC-BR52-22"
   1398       0 KAW2TR3-0XCC15222LoDC                  D NORMAL/ALARMED                         8  266   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~CircAbert1-FtaCC-BR52-22"
   1399       0 KAW2TR3-0XCC25222LoDC                  D NORMAL/ALARMED                         8  267   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~CircAbert2-FtaCC-BR52-22"
   1695       0 KAW2TR3-0XCMD5222                      D NORMAL/ALARMED                         8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Mola descarr.-BR52-22"
   1696       0 KAW2TR3-0RCTF5222Locl                  D REMOTE/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Sd.69kV~(43)-REMOTE/LOCAL-BR52-22"
   1697       0 KAW2TR3-0XSWS-142Fail                  D NORMAL/ALARMED                         8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Sd.69kV~Switches-Failure-SC142"
